Source_File,Text_ID,Content_Type,Author,Date,Text,Engagement,Thread_ID,clean_text
全运会2.txt,Comment_05_015,Comment,云吃吃（袁嘟嘟嘟版）,2025-11-04广东,我也要带这个，希望不会管吧,,全运会2_Thread_05,我也要带这个，希望不会管吧
全运会2.txt,Comment_05_017,Comment,记昨日书,2025-11-03江西,11号早上可以一起,,全运会2_Thread_05,11号早上可以一起
全运会2.txt,Comment_05_020,Comment,,2025-11-03江苏,宝宝你在哪个区呀,,全运会2_Thread_05,宝宝你在哪个区呀
全运会2.txt,Comment_05_023,Comment,,2025-10-30上海,哇好巧我也是看这两场 老师你看谁！,,全运会2_Thread_05,哇好巧我也是看这两场 老师你看谁！
全运会2.txt,Comment_05_026,Comment,,2025-10-30上海,我看蛙还有顺！,,全运会2_Thread_05,我看蛙还有顺！
全运会2.txt,Comment_05_029,Comment,,2025-11-08广东,10号晚上打算带长焦 蹲一个10号白天的反馈,,全运会2_Thread_05,10号晚上打算带长焦 蹲一个10号白天的反馈
全运会2.txt,Comment_05_031,Comment,涵宁,2025-11-06辽宁,我也看10晚和11早，也在考虑要不要租长焦，怕带不进去,,全运会2_Thread_05,我也看10晚和11早，也在考虑要不要租长焦，怕带不进去
全运会2.txt,Post_06,Post,8,编辑于 2025-11-01,,,全运会2_Thread_06,
全运会2.txt,Comment_06_002,Comment,,2025-11-06山东,置顶评论,,全运会2_Thread_06,置顶评论
全运会2.txt,Comment_06_004,Comment,Hhhha,2025-11-02北京,蹲呃R或者要不我建一个？,,全运会2_Thread_06,蹲呃R或者要不我建一个？
全运会2.txt,Comment_06_007,Comment,,2025-11-02山东,可以的宝宝,,全运会2_Thread_06,可以的宝宝
全运会2.txt,Comment_06_013,Comment,,2025-11-03北京, 挞挞喜欢吃蛋挞  t,,全运会2_Thread_06, 挞挞喜欢吃蛋挞 t
全运会2.txt,Comment_06_015,Comment,Hhhha,2025-11-03北京, momo  t,,全运会2_Thread_06, momo t
全运会2.txt,Comment_06_021,Comment,抽象哼哼吃面包,2025-11-04江苏,蹲蹲抽泣R求踢,,全运会2_Thread_06,蹲蹲抽泣R求踢
全运会2.txt,Reply_06_025,Reply,Hhhha,2025-11-05北京, 半夏（和张杰跨年版）,,全运会2_Thread_06, 半夏（和张杰跨年版）
全运会2.txt,Comment_06_027,Comment,好运喵,2025-11-07广东,蹲 拉我一下,,全运会2_Thread_06,蹲 拉我一下
全运会2.txt,Comment_06_030,Comment,,2025-11-02山东,不可能现在还没有群吧,,全运会2_Thread_06,不可能现在还没有群吧
全运会2.txt,Comment_06_032,Comment,夹心饼干,2025-11-07安徽,有群吗宝子,,全运会2_Thread_06,有群吗宝子
